slug,title,domain,difficulty,skills,description,portfolio_value,project_type,target_roles,required_skill_ids,prerequisite_skill_ids,demonstrates_skill_ids,compatible_stack_ids,estimated_hours,learning_outcomes
image-processing-toolkit,Image Processing Toolkit,Deep Learning,Beginner,"Python for Absolute Beginners, Computer Vision with OpenCV, Computer Vision with OpenCV","Build a portfolio-quality image processing toolkit that solves a realistic computer vision engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Computer Vision Engineer,python|opencv|computer-vision,python|opencv|computer-vision,python|opencv|computer-vision|pytorch,python|opencv|computer-vision,12,"Practice Python, OpenCV, Computer Vision, PyTorch"
object-detection-system,Object Detection System,Deep Learning,Intermediate,"Python for Absolute Beginners, Computer Vision with OpenCV, Deep Learning with PyTorch","Build a portfolio-quality object detection system that solves a realistic computer vision engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Computer Vision Engineer,python|computer-vision|pytorch,python|computer-vision|pytorch,python|computer-vision|pytorch|opencv|deep-learning,python|computer-vision|pytorch,28,"Practice Python, Computer Vision, PyTorch, OpenCV, Deep Learning"
visual-quality-inspection,Visual Quality Inspection,Deep Learning,Intermediate,"Python for Absolute Beginners, Computer Vision with OpenCV, Deep Learning with TensorFlow","Build a portfolio-quality visual quality inspection that solves a realistic computer vision engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Computer Vision Engineer,python|opencv|deep-learning,python|opencv|deep-learning,python|opencv|deep-learning|computer-vision|transfer-learning,python|opencv|deep-learning,28,"Practice Python, OpenCV, Deep Learning, Computer Vision, Transfer Learning"
video-analytics-service,Video Analytics Service,Deep Learning,Advanced,"Python for Absolute Beginners, Computer Vision with OpenCV, Deep Learning with PyTorch, Docker and Containerization","Build a portfolio-quality video analytics service that solves a realistic computer vision engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Computer Vision Engineer,python|opencv|pytorch|docker,python|opencv|pytorch|docker,python|opencv|pytorch|docker|model-serving|monitoring,python|opencv|pytorch|docker,48,"Practice Python, OpenCV, PyTorch, Docker, Model Serving, Monitoring and Observability"
prompt-evaluation-lab,Prompt Evaluation Lab,AI/ML,Beginner,"Python for Absolute Beginners, Natural Language Processing, Generative AI and Prompt Engineering","Build a portfolio-quality prompt evaluation lab that solves a realistic ai/llm engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,AI/LLM Engineer,python|nlp|genai,python|nlp|genai,python|nlp|genai|prompt-engineering|evaluation,python|nlp|genai,12,"Practice Python, Natural Language Processing, Generative AI, Prompt Engineering, AI Evaluation"
embedding-search-assistant,Embedding Search Assistant,AI/ML,Intermediate,"Python for Absolute Beginners, Natural Language Processing, Generative AI and Prompt Engineering","Build a portfolio-quality embedding search assistant that solves a realistic ai/llm engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,AI/LLM Engineer,python|nlp|genai,python|nlp|genai,python|nlp|genai|vector-databases|evaluation,python|nlp|genai,28,"Practice Python, Natural Language Processing, Generative AI, Vector Databases, AI Evaluation"
rag-knowledge-assistant,RAG Knowledge Assistant,AI/ML,Intermediate,"Python for Absolute Beginners, Natural Language Processing, Generative AI and Prompt Engineering, Docker and Containerization","Build a portfolio-quality rag knowledge assistant that solves a realistic ai/llm engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,AI/LLM Engineer,python|nlp|genai|docker,python|nlp|genai|docker,python|nlp|genai|docker|rag|vector-databases,python|nlp|genai|docker,28,"Practice Python, Natural Language Processing, Generative AI, Docker, Retrieval-Augmented Generation, Vector Databases"
agentic-research-workflow,Agentic Research Workflow,AI/ML,Advanced,"Python for Absolute Beginners, Generative AI and Prompt Engineering, Docker and Containerization","Build a portfolio-quality agentic research workflow that solves a realistic ai/llm engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,AI/LLM Engineer,python|genai|docker,python|genai|docker,python|genai|docker|rag|evaluation|prompt-engineering,python|genai|docker,48,"Practice Python, Generative AI, Docker, Retrieval-Augmented Generation, AI Evaluation, Prompt Engineering"
production-llm-application-capstone,Production LLM Application Capstone,AI/ML,Advanced,"Python for Absolute Beginners, Generative AI and Prompt Engineering, Docker and Containerization, REST API Design Principles","Build a portfolio-quality production llm application capstone that solves a realistic ai/llm engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,AI/LLM Engineer,python|genai|docker|rest-api,python|genai|docker|rest-api,python|genai|docker|rest-api|llm|rag|vector-databases|evaluation|monitoring,python|genai|docker|rest-api,48,"Practice Python, Generative AI, Docker, REST APIs, Large Language Models, Retrieval-Augmented Generation"
ml-experiment-tracking,ML Experiment Tracking,MLOps,Beginner,"Python for Absolute Beginners, Machine Learning Fundamentals, Docker and Containerization","Build a portfolio-quality ml experiment tracking that solves a realistic mlops engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,MLOps Engineer,python|machine-learning|docker,python|machine-learning|docker,python|machine-learning|docker|mlops,python|machine-learning|docker,12,"Practice Python, Machine Learning, Docker, MLOps"
model-packaging-pipeline,Model Packaging Pipeline,MLOps,Intermediate,"Python for Absolute Beginners, Docker and Containerization, CI CD Pipeline Setup","Build a portfolio-quality model packaging pipeline that solves a realistic mlops engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,MLOps Engineer,python|docker|cicd,python|docker|cicd,python|docker|cicd|model-serving,python|docker|cicd,28,"Practice Python, Docker, CI/CD, Model Serving"
kubernetes-model-serving,Kubernetes Model Serving,MLOps,Intermediate,"Python for Absolute Beginners, Docker and Containerization, Kubernetes Orchestration","Build a portfolio-quality kubernetes model serving that solves a realistic mlops engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,MLOps Engineer,python|docker|kubernetes,python|docker|kubernetes,python|docker|kubernetes|model-serving|monitoring,python|docker|kubernetes,28,"Practice Python, Docker, Kubernetes, Model Serving, Monitoring and Observability"
cloud-storage-architecture,Cloud Storage Architecture,Cloud,Beginner,"Linux Command Line Essentials, AWS Cloud Practitioner, Git and GitHub Mastery","Build a portfolio-quality cloud storage architecture that solves a realistic cloud engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Cloud Engineer,linux|aws|git,linux|aws|git,linux|aws|git|aws-architecture,linux|aws|git,12,"Practice Linux, AWS, Git, AWS Architecture"
linux-reliability-runbook,Linux Reliability Runbook,DevOps,Beginner,"Linux Command Line Essentials, Linux Command Line Essentials, Git and GitHub Mastery","Build a portfolio-quality linux reliability runbook that solves a realistic sre problem and documents design decisions, testing, and tradeoffs.",High,portfolio,SRE,linux|shell|git,linux|shell|git,linux|shell|git|monitoring,linux|shell|git,12,"Practice Linux, Shell, Git, Monitoring and Observability"
service-health-dashboard,Service Health Dashboard,DevOps,Intermediate,"Linux Command Line Essentials, Docker and Containerization","Build a portfolio-quality service health dashboard that solves a realistic sre problem and documents design decisions, testing, and tradeoffs.",High,portfolio,SRE,linux|docker,linux|docker,linux|docker|testing,linux|docker,28,"Practice Linux, Docker, Software Testing"
kubernetes-reliability-lab,Kubernetes Reliability Lab,DevOps,Intermediate,"Linux Command Line Essentials, Docker and Containerization, Kubernetes Orchestration","Build a portfolio-quality kubernetes reliability lab that solves a realistic sre problem and documents design decisions, testing, and tradeoffs.",High,portfolio,SRE,linux|docker|kubernetes,linux|docker|kubernetes,linux|docker|kubernetes|monitoring|cicd,linux|docker|kubernetes,28,"Practice Linux, Docker, Kubernetes, Monitoring and Observability, CI/CD"
incident-response-platform,Incident Response Platform,DevOps,Advanced,"Linux Command Line Essentials, Kubernetes Orchestration, CI CD Pipeline Setup","Build a portfolio-quality incident response platform that solves a realistic sre problem and documents design decisions, testing, and tradeoffs.",High,portfolio,SRE,linux|kubernetes|cicd,linux|kubernetes|cicd,linux|kubernetes|cicd|system-design|deployment,linux|kubernetes|cicd,48,"Practice Linux, Kubernetes, CI/CD, System Design, Application Deployment"
sre-production-capstone,SRE Production Capstone,DevOps,Advanced,"Linux Command Line Essentials, Docker and Containerization, Kubernetes Orchestration, CI CD Pipeline Setup, AWS Cloud Practitioner","Build a portfolio-quality sre production capstone that solves a realistic sre problem and documents design decisions, testing, and tradeoffs.",High,portfolio,SRE,linux|docker|kubernetes|cicd|aws,linux|docker|kubernetes|cicd|aws,linux|docker|kubernetes|cicd|aws|monitoring|system-design|deployment,linux|docker|kubernetes|cicd|aws,48,"Practice Linux, Docker, Kubernetes, CI/CD, AWS, Monitoring and Observability"
security-fundamentals-lab,Security Fundamentals Lab,Security,Beginner,"Linux Command Line Essentials, Cybersecurity Fundamentals, Linux Command Line Essentials","Build a portfolio-quality security fundamentals lab that solves a realistic cybersecurity engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Cybersecurity Engineer,linux|cybersecurity-fundamentals|linux,linux|cybersecurity-fundamentals|linux,linux|cybersecurity-fundamentals|authentication,linux|cybersecurity-fundamentals,12,"Practice Linux, Cybersecurity Fundamentals, Authentication and Authorization"
secure-api-assessment,Secure API Assessment,Security,Intermediate,"Linux Command Line Essentials, Cybersecurity Fundamentals, REST API Design Principles","Build a portfolio-quality secure api assessment that solves a realistic cybersecurity engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Cybersecurity Engineer,linux|cybersecurity-fundamentals|rest-api,linux|cybersecurity-fundamentals|rest-api,linux|cybersecurity-fundamentals|rest-api|authentication|ethical-hacking,linux|cybersecurity-fundamentals|rest-api,28,"Practice Linux, Cybersecurity Fundamentals, REST APIs, Authentication and Authorization, Ethical Hacking"
cross-platform-weather-app,Cross Platform Weather App,Mobile Development,Beginner,"Flutter Cross Platform Apps, Flutter Cross Platform Apps","Build a portfolio-quality cross platform weather app that solves a realistic mobile developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Mobile Developer,mobile-development|flutter,mobile-development|flutter,mobile-development|flutter|react-native,mobile-development|flutter,12,"Practice Mobile Development, Flutter, React Native"
android-habit-tracker,Android Habit Tracker,Mobile Development,Beginner,"Android App Development, Java Programming Basics, Flutter Cross Platform Apps","Build a portfolio-quality android habit tracker that solves a realistic android developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Android Developer,android|java|mobile-development,android|java|mobile-development,android|java|mobile-development|testing,android|java|mobile-development,12,"Practice Android, Java, Mobile Development, Software Testing"
android-api-client,Android API Client,Mobile Development,Intermediate,"Android App Development, Java Programming Basics, REST API Design Principles","Build a portfolio-quality android api client that solves a realistic android developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Android Developer,android|java|rest-api,android|java|rest-api,android|java|rest-api|authentication|testing,android|java|rest-api,28,"Practice Android, Java, REST APIs, Authentication and Authorization, Software Testing"
offline-android-data-app,Offline Android Data App,Mobile Development,Intermediate,"Android App Development, Java Programming Basics, PostgreSQL Database Design","Build a portfolio-quality offline android data app that solves a realistic android developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Android Developer,android|java|postgresql,android|java|postgresql,android|java|postgresql|testing,android|java|postgresql,28,"Practice Android, Java, PostgreSQL, Software Testing"
android-background-sync-service,Android Background Sync Service,Mobile Development,Advanced,"Android App Development, Java Programming Basics, REST API Design Principles","Build a portfolio-quality android background sync service that solves a realistic android developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Android Developer,android|java|rest-api,android|java|rest-api,android|java|rest-api|testing|deployment,android|java|rest-api,48,"Practice Android, Java, REST APIs, Software Testing, Application Deployment"
android-production-capstone,Android Production Capstone,Mobile Development,Advanced,"Android App Development, Java Programming Basics, REST API Design Principles, Git and GitHub Mastery","Build a portfolio-quality android production capstone that solves a realistic android developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Android Developer,android|java|rest-api|git,android|java|rest-api|git,android|java|rest-api|git|testing|deployment|authentication,android|java|rest-api|git,48,"Practice Android, Java, REST APIs, Git, Software Testing, Application Deployment"
swift-habit-tracker,Swift Habit Tracker,Mobile Development,Beginner,"iOS App Development with Swift, iOS App Development with Swift, Flutter Cross Platform Apps","Build a portfolio-quality swift habit tracker that solves a realistic ios developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,iOS Developer,ios|swift|mobile-development,ios|swift|mobile-development,ios|swift|mobile-development|testing,ios|swift|mobile-development,12,"Practice iOS, Swift, Mobile Development, Software Testing"
swift-api-client,Swift API Client,Mobile Development,Intermediate,"iOS App Development with Swift, iOS App Development with Swift, REST API Design Principles","Build a portfolio-quality swift api client that solves a realistic ios developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,iOS Developer,ios|swift|rest-api,ios|swift|rest-api,ios|swift|rest-api|testing,ios|swift|rest-api,28,"Practice iOS, Swift, REST APIs, Software Testing"
offline-first-ios-app,Offline First iOS App,Mobile Development,Intermediate,"iOS App Development with Swift, iOS App Development with Swift, Git and GitHub Mastery","Build a portfolio-quality offline first ios app that solves a realistic ios developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,iOS Developer,ios|swift|git,ios|swift|git,ios|swift|git|testing|deployment,ios|swift|git,28,"Practice iOS, Swift, Git, Software Testing, Application Deployment"
ios-background-sync-app,iOS Background Sync App,Mobile Development,Advanced,"iOS App Development with Swift, iOS App Development with Swift, REST API Design Principles","Build a portfolio-quality ios background sync app that solves a realistic ios developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,iOS Developer,ios|swift|rest-api,ios|swift|rest-api,ios|swift|rest-api|testing|deployment,ios|swift|rest-api,48,"Practice iOS, Swift, REST APIs, Software Testing, Application Deployment"
ios-production-capstone,iOS Production Capstone,Mobile Development,Advanced,"iOS App Development with Swift, iOS App Development with Swift, REST API Design Principles, Git and GitHub Mastery","Build a portfolio-quality ios production capstone that solves a realistic ios developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,iOS Developer,ios|swift|rest-api|git,ios|swift|rest-api|git,ios|swift|rest-api|git|testing|deployment|authentication,ios|swift|rest-api|git,48,"Practice iOS, Swift, REST APIs, Git, Software Testing, Application Deployment"
blockchain-ledger-cli,Blockchain Ledger CLI,Blockchain,Beginner,"Blockchain Development, JavaScript Fundamentals, Git and GitHub Mastery","Build a portfolio-quality blockchain ledger cli that solves a realistic blockchain developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Blockchain Developer,blockchain|javascript|git,blockchain|javascript|git,blockchain|javascript|git|smart-contracts,blockchain|javascript|git,12,"Practice Blockchain, JavaScript, Git, Smart Contracts"
solidity-token-contract,Solidity Token Contract,Blockchain,Intermediate,"Blockchain Development, Smart Contract Programming with Solidity, Smart Contract Programming with Solidity","Build a portfolio-quality solidity token contract that solves a realistic blockchain developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Blockchain Developer,blockchain|solidity|smart-contracts,blockchain|solidity|smart-contracts,blockchain|solidity|smart-contracts|testing,blockchain|solidity|smart-contracts,28,"Practice Blockchain, Solidity, Smart Contracts, Software Testing"
token-swap-dapp-blockchain,Token Swap dApp,Blockchain,Intermediate,"Blockchain Development, Smart Contract Programming with Solidity, Smart Contract Programming with Solidity, JavaScript Fundamentals","Build a portfolio-quality token swap dapp that solves a realistic blockchain developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Blockchain Developer,blockchain|solidity|smart-contracts|javascript,blockchain|solidity|smart-contracts|javascript,blockchain|solidity|smart-contracts|javascript|testing|authentication,blockchain|solidity|smart-contracts|javascript,28,"Practice Blockchain, Solidity, Smart Contracts, JavaScript, Software Testing, Authentication and Authorization"
systems-monitoring-agent,Systems Monitoring Agent,Systems,Beginner,"C Plus Plus Programming Essentials, Linux Command Line Essentials, Linux Command Line Essentials","Build a portfolio-quality systems monitoring agent that solves a realistic systems engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Systems Engineer,cpp|linux|shell,cpp|linux|shell,cpp|linux|shell|monitoring,cpp|linux|shell,12,"Practice C++, Linux, Shell, Monitoring and Observability"
networked-c-service,Networked C++ Service,Systems,Intermediate,"C Plus Plus Programming Essentials, Linux Command Line Essentials, Git and GitHub Mastery","Build a portfolio-quality networked c++ service that solves a realistic systems engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Systems Engineer,cpp|linux|git,cpp|linux|git,cpp|linux|git|testing,cpp|linux|git,28,"Practice C++, Linux, Git, Software Testing"
concurrent-systems-simulator,Concurrent Systems Simulator,Systems,Intermediate,"C Plus Plus Programming Essentials, Linux Command Line Essentials","Build a portfolio-quality concurrent systems simulator that solves a realistic systems engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Systems Engineer,cpp|linux,cpp|linux,cpp|linux|system-design,cpp|linux,28,"Practice C++, Linux, System Design"
embedded-sensor-reader,Embedded Sensor Reader,Systems,Beginner,"Embedded Systems Programming, C Plus Plus Programming Essentials, IoT with Raspberry Pi","Build a portfolio-quality embedded sensor reader that solves a realistic embedded engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Embedded Engineer,embedded|cpp|iot,embedded|cpp|iot,embedded|cpp|iot|testing,embedded|cpp|iot,12,"Practice Embedded Systems, C++, IoT, Software Testing"
microcontroller-telemetry-node,Microcontroller Telemetry Node,Systems,Intermediate,"Embedded Systems Programming, C Plus Plus Programming Essentials, IoT with Raspberry Pi","Build a portfolio-quality microcontroller telemetry node that solves a realistic embedded engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Embedded Engineer,embedded|cpp|iot,embedded|cpp|iot,embedded|cpp|iot|linux,embedded|cpp|iot,28,"Practice Embedded Systems, C++, IoT, Linux"
edge-device-data-logger,Edge Device Data Logger,Systems,Intermediate,"Embedded Systems Programming, C Plus Plus Programming Essentials, IoT with Raspberry Pi, Git and GitHub Mastery","Build a portfolio-quality edge device data logger that solves a realistic embedded engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Embedded Engineer,embedded|cpp|iot|git,embedded|cpp|iot|git,embedded|cpp|iot|git|deployment,embedded|cpp|iot|git,28,"Practice Embedded Systems, C++, IoT, Git, Application Deployment"
connected-device-controller,Connected Device Controller,Systems,Advanced,"Embedded Systems Programming, C Plus Plus Programming Essentials, IoT with Raspberry Pi, Linux Command Line Essentials","Build a portfolio-quality connected device controller that solves a realistic embedded engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Embedded Engineer,embedded|cpp|iot|linux,embedded|cpp|iot|linux,embedded|cpp|iot|linux|testing|monitoring,embedded|cpp|iot|linux,48,"Practice Embedded Systems, C++, IoT, Linux, Software Testing, Monitoring and Observability"
embedded-systems-capstone,Embedded Systems Capstone,Systems,Advanced,"Embedded Systems Programming, C Plus Plus Programming Essentials, IoT with Raspberry Pi, Linux Command Line Essentials, Git and GitHub Mastery","Build a portfolio-quality embedded systems capstone that solves a realistic embedded engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Embedded Engineer,embedded|cpp|iot|linux|git,embedded|cpp|iot|linux|git,embedded|cpp|iot|linux|git|testing|deployment|system-design,embedded|cpp|iot|linux|git,48,"Practice Embedded Systems, C++, IoT, Linux, Git, Software Testing"
